title,categories/keyword,author_tags,title_tfidf
improvement calvarial bone healing durable nanogelcrosslinked materialsarticle,journal biomaterials science polymer edition,arginineglycineaspartate rgd bmp bone regeneration fgf hydrogel nanogel amino acid biomineralization cell culture defect hydrogel nanostructured material peptide scaffold biology tissue regeneration aspartates bmp bone regeneration fgf nanogels bone arginylglycylaspartic acid growth factor nanocarrier nanoclik hydrogel nanogel crosslinked porous disc nanomaterial ovalbumin pullulan unclassified drug arginylglycylaspartic acid biomaterial bmp protein human bone morphogenetic protein cross linking reagent fibroblast growth factor fibroblast growth factor glucan macrogol nanoparticle oligopeptide ovalbumin animal cell animal experiment animal model animal tissue article bone defect bone development calcification calvaria cell adhesion controlled study cross linking dura mater fluorescence fracture healing freeze drying histology hydrogel vitro study vivo study male microcomputed tomography mouse nonhuman ossification osteoblast porosity priority journal protein secretion surface property sustained drug release trabecular bone animal bone regeneration cbl mouse cell line chemistry drug effect drug release human injury physiology skull tissue scaffold wound healing animal biocompatible material bone morphogenetic protein bone regeneration cell adhesion cell line crosslinking reagent drug liberation fibroblast growth factor glucans human hydrogel male mouse inbred cbl nanoparticles oligopeptides osteoblast osteogenesis ovalbumin polyethylene glycol skull tissue scaffold wound healing,[0. 0. 0. ... 0. 0. 0.]
dbranes nonabelian tdual su wzw modelarticleopen access,physic letter section b nuclear elementary particle highenergy physic,,[0. 0. 0. ... 0. 0. 0.]
dependence informal interest rate level lender influence informal loan market thailandarticle,international advance economic research,informal interest rate informal loan level lender influence,[0. 0. 0. ... 0. 0. 0.]
integrating social hydrological ecological dimension freshwater health freshwater health indexarticleopen access,science total environment,ecosystem service freshwater ecosystem freshwater sustainability stakeholder engagement water governance ecosystem health information management resource allocation water water management ecosystem service fresh water freshwater ecosystem freshwater sustainability health index integrated solution stakeholder engagement water governance water insecurity water resource management sustainable development ecosystem health ecosystem service freshwater ecosystem governance approach stakeholder sustainability water management water resource water use article biological monitoring china conceptual framework controlled study ecosystem monitoring environmental health environmental management environmental sustainability freshwater environment freshwater health index priority journal resource management river basin water management water quality china dongjiang basin guangdong,[0. 0. 0. ... 0. 0. 0.]
predictive value specificity electroencephalographic finding autoimmune encephalitis diagnosisarticle,epilepsy behavior,autoimmune encephalitis eeg predictive value specificity n methyl dextro aspartic acid antibody allergic encephalitis article cerebrospinal fluid consciousness level controlled study crosssectional study early diagnosis electroencephalography encephalitis female human immunotherapy interrater reliability logistic regression analysis major clinical study male mesial temporal lobe epilepsy predictive value relapse retrospective study scoring system serology therapy delay adolescent adult aged anti n methyl aspartate receptor encephalitis encephalitis hashimoto disease middle aged pathophysiology sensitivity specificity standard young adult adolescent adult aged antinmethyldaspartate receptor encephalitis antibody crosssectional study electroencephalography encephalitis female hashimoto disease human male middle aged predictive value test reference standard sensitivity specificity young adult,[0. 0. 0. ... 0. 0. 0.]
momentum space approach crossing symmetric cft correlatorsarticleopen access,journal high energy physic,adscft correspondence conformal w symmetry conformal field theory,[0. 0. 0. ... 0. 0. 0.]
speculation nanogap sensor dna sequencing technology review synthetic nanoporesreviewopen access,engineering journal,dna sequencing molecular biology nanochannel nanofabrication nanopore sensor,[0. 0. 0. ... 0. 0. 0.]
cooverexpression native phospholipidbiosynthetic gene plsx plsc enhances lipid production synechocystis sp pcc articleopen access,scientific report,acylglycerophosphate acyltransferase bacterial protein fatty acid hydroxybutyric acid phospholipid plsx protein bacteria polybetahydroxybutyrate polyester biosynthesis genetics lipid metabolism metabolic engineering metabolism procedure renewable energy synechocystis acylglycerolphosphate oacyltransferase bacterial protein fatty acid hydroxybutyrates lipid metabolism metabolic engineering phospholipid polyester renewable energy synechocystis,[0. 0. 0. ... 0. 0. 0.]
characterization transforming growth factor beta regulator like association expression level growth giant tiger shrimp penaeus monodonarticle,comparative biochemistry physiology part b biochemistry molecular biology,gene expression growth penaeus monodon snp tbrgl complementary dna double stranded rna genomic dna transforming growth factor beta arthropod protein amino acid sequence animal experiment article blood cell body weight controlled study female gene knockdown gene sequence hepatopancreas male nonhuman nucleotide sequence open reading frame penaeus monodon priority journal protein expression level real time polymerase chain reaction rna extraction rna interference single nucleotide polymorphism single strand conformation polymorphism animal chemistry gene expression regulation genetics growth development aging metabolism molecular cloning penaeidae amino acid sequence animal arthropod protein base sequence body weight cloning molecular gene expression regulation developmental penaeidae,[0. 0. 0. ... 0. 0. 0.]
auditor going concern reporting accuracy global financial crisisarticle,journal contemporary accounting economics,audit opinion audit quality financial crisis going concern type misclassification type ii misclassification,[0. 0. 0. ... 0. 0. 0.]
life cycle cost analysis energy performance president office prince songkla university thailandarticle,songklanakarin journal science technology,administrative building energy efficiency energy performance life cycle cost operational energy,[0. 0. 0. ... 0. 0. 0.]
topographic anatomy infraorbital artery clinical implication nasolabial fold augmentationarticle,plastic reconstructive surgery,administration dosage aged anatomy histology artery esthetic surgery female human injectable implant innervation male maxillary nerve middle aged nasolabial fold peroperative complication postoperative complication procedure reconstructive surgery subcutaneous drug administration surgery vascularization aged artery cosmetic technique dermal filler female human injection subcutaneous intraoperative complication male maxillary nerve middle aged nasolabial fold postoperative complication reconstructive surgical procedure,[0. 0. 0. ... 0. 0. 0.]
